Priority_Rank,Priority_Score,Predicted_Temp_Reduction,Estimated_Cooling_Celsius,Total_Cost_USD,Avg_Feasibility,N_Interventions,Confidence,Interventions,Co_Benefits_Count,Coverage_street_trees,Coverage_urban_forests,Coverage_pocket_parks,Coverage_green_roofs,Coverage_vertical_gardens,Coverage_bioswales,Coverage_cool_pavements,Coverage_high_albedo_materials,Coverage_lake_restoration,Coverage_jaali_structures,Coverage_building_orientation,Coverage_green_walls,Coverage_ponds,Coverage_water_channels,Coverage_fountains,Coverage_wind_corridors,Coverage_building_spacing,Coverage_artificial_shading,Coverage_ventilation_corridors,Coverage_urban_agriculture,Coverage_urban_wetlands,Coverage_reflective_roof_coatings,Coverage_reflective_concrete,Coverage_rain_gardens,Coverage_permeable_pavements,Coverage_impervious_surface_reduction,Coverage_cool_roofs
1,6.9800,0.6400,8.4500,3721681.0000,0.7410,11,0.9500,Street Trees (42%) + Urban Forests / Miyawaki Forests (45%) + Pocket Parks (20%) + Green Roofs (60%) + Vertical Gardens (25%) + Bioswales (54%) + Cool Pavements (70%) + High Albedo Materials (70%) + Lake Restoration (72%) + Jaali (Lattice Screen) Structures (57%) + Building Orientation Optimization (10%),45,0.4200,0.4500,0.2000,0.6000,0.2500,0.5400,0.7000,0.7000,0.7200,0.5700,0.1000,,,,,,,,,,,,,,,,
2,6.8500,0.3300,8.0900,702554.0000,0.6380,12,0.9500,Pocket Parks (36%) + Green Walls / Living Walls (45%) + Cool Pavements (9%) + Ponds / Retention Basins (78%) + Water Channels / Urban Canals (48%) + Fountains / Water Features (46%) + Wind Corridors (36%) + Building Spacing Optimization (43%) + Artificial Shading Structures (69%) + Jaali (Lattice Screen) Structures (20%) + Building Orientation Optimization (69%) + Ventilation Corridors (50%),48,,,0.3600,,,,0.0900,,,0.2000,0.6900,0.4500,0.7800,0.4800,0.4600,0.3600,0.4300,0.6900,0.5000,,,,,,,,
3,6.5300,0.4500,6.4400,1743174.0000,0.6820,11,0.9500,Street Trees (74%) + Green Walls / Living Walls (79%) + Urban Agriculture (41%) + Cool Pavements (34%) + High Albedo Materials (21%) + Lake Restoration (27%) + Urban Wetlands (25%) + Ponds / Retention Basins (8%) + Water Channels / Urban Canals (39%) + Wind Corridors (16%) + Artificial Shading Structures (26%),43,0.7400,,,,,,0.3400,0.2100,0.2700,,,0.7900,0.0800,0.3900,,0.1600,,0.2600,,0.4100,0.2500,,,,,,
4,6.4900,0.4400,7.8200,777108.0000,0.7370,12,0.9500,Street Trees (75%) + Reflective Roof Coatings (39%) + Cool Pavements (37%) + Reflective Concrete (76%) + Urban Wetlands (55%) + Ponds / Retention Basins (37%) + Rain Gardens (70%) + Permeable Pavements (35%) + Artificial Shading Structures (22%) + Jaali (Lattice Screen) Structures (33%) + Ventilation Corridors (37%) + Impervious Surface Reduction (56%),41,0.7500,,,,,,0.3700,,,0.3300,,,0.3700,,,,,0.2200,0.3700,,0.5500,0.3900,0.7600,0.7000,0.3500,0.5600,
5,6.3600,0.7700,6.7600,290940.0000,0.7850,10,0.9500,Street Trees (79%) + Urban Forests / Miyawaki Forests (56%) + Pocket Parks (52%) + Green Walls / Living Walls (12%) + Vertical Gardens (23%) + Reflective Roof Coatings (71%) + High Albedo Materials (78%) + Rain Gardens (39%) + Fountains / Water Features (72%) + Impervious Surface Reduction (22%),37,0.7900,0.5600,0.5200,,0.2300,,,0.7800,,,,0.1200,,,0.7200,,,,,,,0.7100,,0.3900,,0.2200,
6,6.2900,0.5200,7.8800,2629830.0000,0.7590,11,0.9500,Pocket Parks (11%) + Green Walls / Living Walls (45%) + Bioswales (46%) + Cool Roofs (69%) + Cool Pavements (76%) + High Albedo Materials (44%) + Lake Restoration (52%) + Permeable Pavements (57%) + Artificial Shading Structures (67%) + Building Orientation Optimization (72%) + Impervious Surface Reduction (8%),38,,,0.1100,,,0.4600,0.7600,0.4400,0.5200,,0.7200,0.4500,,,,,,0.6700,,,,,,,0.5700,0.0800,0.6900
7,6.1700,0.5100,5.6800,214976.0000,0.6900,10,0.9500,Street Trees (39%) + Green Roofs (61%) + Green Walls / Living Walls (76%) + Cool Pavements (40%) + Permeable Pavements (52%) + Water Channels / Urban Canals (12%) + Artificial Shading Structures (13%) + Building Orientation Optimization (50%) + Ventilation Corridors (70%) + Impervious Surface Reduction (32%),39,0.3900,,,0.6100,,,0.4000,,,,0.5000,0.7600,,0.1200,,,,0.1300,0.7000,,,,,,0.5200,0.3200,
8,6.0800,0.6400,6.4000,353580.0000,0.7400,10,0.9500,Street Trees (74%) + Urban Forests / Miyawaki Forests (50%) + Pocket Parks (72%) + Bioswales (30%) + Urban Agriculture (20%) + Reflective Concrete (67%) + Rain Gardens (74%) + Permeable Pavements (18%) + Artificial Shading Structures (11%) + Ventilation Corridors (26%),36,0.7400,0.5000,0.7200,,,0.3000,,,,,,,,,,,,0.1100,0.2600,0.2000,,,0.6700,0.7400,0.1800,,
9,5.5600,1.0100,7.4000,148868.0000,0.8170,6,0.9000,Street Trees (73%) + Urban Forests / Miyawaki Forests (96%) + Green Roofs (80%) + Cool Roofs (69%) + High Albedo Materials (100%) + Permeable Pavements (12%),27,0.7300,0.9600,,0.8000,,,,1.0000,,,,,,,,,,,,,,,,,0.1200,,0.6900
10,5.4800,1.0000,7.3900,152466.0000,0.7920,6,0.9000,Street Trees (12%) + Urban Forests / Miyawaki Forests (100%) + Green Roofs (100%) + Cool Roofs (100%) + Jaali (Lattice Screen) Structures (65%) + Impervious Surface Reduction (42%),27,0.1200,1.0000,,1.0000,,,,,,0.6500,,,,,,,,,,,,,,,,0.4200,1.0000
11,5.4200,1.2300,8.0600,151904.0000,0.8080,6,0.9000,Urban Forests / Miyawaki Forests (100%) + Green Roofs (95%) + Cool Roofs (100%) + Reflective Roof Coatings (89%) + Jaali (Lattice Screen) Structures (74%) + Impervious Surface Reduction (42%),25,,1.0000,,0.9500,,,,,,0.7400,,,,,,,,,,,,0.8900,,,,0.4200,1.0000
12,5.3900,1.2200,7.8800,145718.0000,0.8330,6,0.9000,Urban Forests / Miyawaki Forests (96%) + Green Roofs (85%) + Cool Roofs (99%) + Reflective Roof Coatings (88%) + High Albedo Materials (97%) + Jaali (Lattice Screen) Structures (68%),24,,0.9600,,0.8500,,,,0.9700,,0.6800,,,,,,,,,,,,0.8800,,,,,0.9900
13,5.3900,1.0400,8.4000,1655696.0000,0.7580,6,0.9000,Street Trees (82%) + Urban Forests / Miyawaki Forests (100%) + Green Roofs (96%) + Bioswales (68%) + Reflective Roof Coatings (73%) + Lake Restoration (30%),27,0.8200,1.0000,,0.9600,,0.6800,,,0.3000,,,,,,,,,,,,,0.7300,,,,,
14,5.3900,1.0400,8.3900,1655684.0000,0.7580,6,0.9000,Street Trees (82%) + Urban Forests / Miyawaki Forests (100%) + Green Roofs (95%) + Bioswales (68%) + Reflective Roof Coatings (73%) + Lake Restoration (30%),27,0.8200,1.0000,,0.9500,,0.6800,,,0.3000,,,,,,,,,,,,,0.7300,,,,,
15,5.3900,0.9800,7.2400,1298834.0000,0.7000,6,0.9000,Street Trees (77%) + Urban Forests / Miyawaki Forests (96%) + Green Roofs (79%) + Reflective Roof Coatings (72%) + Lake Restoration (23%) + Building Spacing Optimization (7%),29,0.7700,0.9600,,0.7900,,,,,0.2300,,,,,,,,0.0700,,,,,0.7200,,,,,
16,5.3700,0.9300,7.0700,1274086.0000,0.7330,6,0.9000,Street Trees (77%) + Urban Forests / Miyawaki Forests (79%) + Green Roofs (88%) + Green Walls / Living Walls (30%) + Cool Roofs (53%) + Lake Restoration (23%),28,0.7700,0.7900,,0.8800,,,,,0.2300,,,0.3000,,,,,,,,,,,,,,,0.5300
17,5.3500,1.1200,7.4300,130713.0000,0.8330,6,0.9000,Urban Forests / Miyawaki Forests (86%) + Green Roofs (85%) + Cool Roofs (88%) + Reflective Roof Coatings (88%) + High Albedo Materials (97%) + Jaali (Lattice Screen) Structures (70%),24,,0.8600,,0.8500,,,,0.9700,,0.7000,,,,,,,,,,,,0.8800,,,,,0.8800
18,5.3200,0.2100,3.1500,41880.0000,0.7120,8,0.9500,Green Walls / Living Walls (26%) + Urban Agriculture (51%) + Reflective Roof Coatings (23%) + Cool Pavements (30%) + Reflective Concrete (72%) + Building Spacing Optimization (38%) + Jaali (Lattice Screen) Structures (37%) + Building Orientation Optimization (41%),31,,,,,,,0.3000,,,0.3700,0.4100,0.2600,,,,,0.3800,,,0.5100,,0.2300,0.7200,,,,
19,5.2900,1.1600,8.1900,1547248.0000,0.7750,6,0.9000,Urban Forests / Miyawaki Forests (97%) + Green Roofs (96%) + Bioswales (68%) + Cool Roofs (96%) + Reflective Roof Coatings (88%) + Lake Restoration (28%),25,,0.9700,,0.9600,,0.6800,,,0.2800,,,,,,,,,,,,,0.8800,,,,,0.9600
20,5.2900,0.8600,5.1600,1856.0000,0.8500,6,0.9000,Green Roofs (87%) + Bioswales (19%) + Cool Roofs (99%) + Reflective Roof Coatings (84%) + High Albedo Materials (100%) + Jaali (Lattice Screen) Structures (68%),23,,,,0.8700,,0.1900,,1.0000,,0.6800,,,,,,,,,,,,0.8400,,,,,0.9900
21,5.2700,0.9200,6.2800,120213.0000,0.8330,6,0.9000,Street Trees (78%) + Urban Forests / Miyawaki Forests (77%) + Green Walls / Living Walls (30%) + Cool Roofs (53%) + Reflective Roof Coatings (67%) + High Albedo Materials (100%),24,0.7800,0.7700,,,,,,1.0000,,,,0.3000,,,,,,,,,,0.6700,,,,,0.5300
22,5.2100,0.6900,4.2600,3942.0000,0.7670,6,0.9000,Street Trees (42%) + Green Roofs (77%) + Vertical Gardens (24%) + Cool Roofs (100%) + Jaali (Lattice Screen) Structures (56%) + Building Orientation Optimization (10%),26,0.4200,,,0.7700,0.2400,,,,,0.5600,0.1000,,,,,,,,,,,,,,,,1.0000
23,5.1900,0.9000,5.3800,30546.0000,0.8420,6,0.9000,Green Roofs (89%) + Urban Agriculture (36%) + Cool Roofs (99%) + Reflective Roof Coatings (88%) + High Albedo Materials (96%) + Jaali (Lattice Screen) Structures (65%),23,,,,0.8900,,,,0.9600,,0.6500,,,,,,,,,,0.3600,,0.8800,,,,,0.9900
24,5.1700,0.9800,5.4400,114311.0000,0.7920,6,0.9000,Urban Forests / Miyawaki Forests (75%) + Green Roofs (88%) + Green Walls / Living Walls (30%) + Cool Roofs (53%) + Reflective Roof Coatings (67%) + Impervious Surface Reduction (14%),24,,0.7500,,0.8800,,,,,,,,0.3000,,,,,,,,,,0.6700,,,,0.1400,0.5300
25,5.1700,0.8600,5.4900,49719.0000,0.8420,6,0.9000,Green Roofs (85%) + Cool Roofs (100%) + Reflective Roof Coatings (88%) + High Albedo Materials (97%) + Fountains / Water Features (48%) + Jaali (Lattice Screen) Structures (68%),23,,,,0.8500,,,,0.9700,,0.6800,,,,,0.4800,,,,,,,0.8800,,,,,1.0000
26,5.1500,0.7400,5.2600,5216.0000,0.8420,6,0.9000,Street Trees (77%) + Green Roofs (77%) + Bioswales (27%) + Cool Roofs (70%) + Reflective Roof Coatings (75%) + Impervious Surface Reduction (46%),23,0.7700,,,0.7700,,0.2700,,,,,,,,,,,,,,,,0.7500,,,,0.4600,0.7000
27,5.1300,1.0700,6.3400,115332.0000,0.7330,6,0.9000,Urban Forests / Miyawaki Forests (76%) + Green Roofs (96%) + Cool Roofs (96%) + Reflective Roof Coatings (73%) + Building Spacing Optimization (19%) + Building Orientation Optimization (20%),25,,0.7600,,0.9600,,,,,,,0.2000,,,,,,0.1900,,,,,0.7300,,,,,0.9600
28,5.1300,0.3300,3.8400,109102.0000,0.7000,7,0.9500,Street Trees (58%) + Bioswales (12%) + Reflective Roof Coatings (31%) + Water Channels / Urban Canals (38%) + Wind Corridors (21%) + Jaali (Lattice Screen) Structures (59%) + Building Orientation Optimization (73%),29,0.5800,,,,,0.1200,,,,0.5900,0.7300,,,0.3800,,0.2100,,,,,,0.3100,,,,,
29,5.0900,0.5200,3.7700,3512.0000,0.7830,6,0.9000,Street Trees (39%) + Green Roofs (86%) + Cool Roofs (21%) + Rain Gardens (66%) + Permeable Pavements (52%) + Building Orientation Optimization (50%),25,0.3900,,,0.8600,,,,,,,0.5000,,,,,,,,,,,,,0.6600,0.5200,,0.2100
30,5.0500,0.8000,5.2900,49922.0000,0.7750,6,0.9000,Street Trees (73%) + Green Roofs (77%) + Bioswales (27%) + Cool Roofs (99%) + Reflective Roof Coatings (75%) + Ventilation Corridors (15%),24,0.7300,,,0.7700,,0.2700,,,,,,,,,,,,,0.1500,,,0.7500,,,,,0.9900
31,5.0200,1.1700,7.1400,145242.0000,0.8500,5,0.8500,Urban Forests / Miyawaki Forests (96%) + Green Roofs (79%) + Cool Roofs (100%) + Reflective Roof Coatings (88%) + High Albedo Materials (100%),20,,0.9600,,0.7900,,,,1.0000,,,,,,,,,,,,,,0.8800,,,,,1.0000
32,5.0000,1.1200,6.8500,130242.0000,0.8500,5,0.8500,Urban Forests / Miyawaki Forests (86%) + Green Roofs (79%) + Cool Roofs (100%) + Reflective Roof Coatings (88%) + High Albedo Materials (100%),20,,0.8600,,0.7900,,,,1.0000,,,,,,,,,,,,,,0.8800,,,,,1.0000
33,5.0000,0.5900,2.9900,1349.0000,0.7580,6,0.9000,Green Roofs (77%) + Cool Roofs (65%) + Reflective Roof Coatings (17%) + Water Channels / Urban Canals (11%) + Building Orientation Optimization (12%) + Impervious Surface Reduction (33%),24,,,,0.7700,,,,,,,0.1200,,,0.1100,,,,,,,,0.1700,,,,0.3300,0.6500
34,4.9800,0.2400,2.2100,28236.0000,0.7290,7,0.9500,Green Roofs (57%) + Vertical Gardens (40%) + Urban Agriculture (33%) + Reflective Roof Coatings (10%) + Cool Pavements (19%) + Water Channels / Urban Canals (19%) + Building Orientation Optimization (19%),27,,,,0.5700,0.4000,,0.1900,,,,0.1900,,,0.1900,,,,,,0.3300,,0.1000,,,,,
35,4.9700,0.4100,3.6900,34600.0000,0.7670,6,0.9000,Street Trees (39%) + Urban Forests / Miyawaki Forests (21%) + Green Roofs (60%) + Cool Pavements (40%) + Permeable Pavements (52%) + Impervious Surface Reduction (32%),25,0.3900,0.2100,,0.6000,,,0.4000,,,,,,,,,,,,,,,,,,0.5200,0.3200,
36,4.9000,1.0600,6.0600,115127.0000,0.7900,5,0.8500,Urban Forests / Miyawaki Forests (76%) + Green Roofs (79%) + Cool Roofs (90%) + Reflective Roof Coatings (88%) + Building Orientation Optimization (45%),21,,0.7600,,0.7900,,,,,,,0.4500,,,,,,,,,,,0.8800,,,,,0.9000
37,4.9000,0.2500,2.0200,654.0000,0.7750,6,0.9000,Green Roofs (37%) + Bioswales (12%) + Reflective Roof Coatings (31%) + Cool Pavements (31%) + Reflective Concrete (13%) + Building Orientation Optimization (73%),24,,,,0.3700,,0.1200,0.3100,,,,0.7300,,,,,,,,,,,0.3100,0.1300,,,,
38,4.7700,0.8200,4.7200,1143.0000,0.8000,5,0.8500,Green Roofs (71%) + Cool Roofs (100%) + Reflective Roof Coatings (88%) + High Albedo Materials (97%) + Building Spacing Optimization (40%),19,,,,0.7100,,,,0.9700,,,,,,,,,0.4000,,,,,0.8800,,,,,1.0000
39,4.7500,0.4900,3.7200,3481.0000,0.7420,6,0.9000,Street Trees (39%) + Green Roofs (89%) + Reflective Concrete (38%) + Permeable Pavements (52%) + Building Orientation Optimization (50%) + Impervious Surface Reduction (32%),23,0.3900,,,0.8900,,,,,,,0.5000,,,,,,,,,,,,0.3800,,0.5200,0.3200,
40,4.7400,0.3800,2.6000,570.0000,0.7500,6,0.9000,Green Walls / Living Walls (19%) + Cool Roofs (68%) + Reflective Roof Coatings (68%) + Reflective Concrete (9%) + Permeable Pavements (5%) + Building Spacing Optimization (42%),22,,,,,,,,,,,,0.1900,,,,,0.4200,,,,,0.6800,0.0900,,0.0500,,0.6800
41,4.7300,0.5800,2.5500,1059.0000,0.8300,5,0.8500,Green Roofs (77%) + Cool Roofs (69%) + Reflective Roof Coatings (7%) + High Albedo Materials (28%) + Building Orientation Optimization (12%),19,,,,0.7700,,,,0.2800,,,0.1200,,,,,,,,,,,0.0700,,,,,0.6900
42,4.7000,0.5300,3.1600,270.0000,0.8000,5,0.8500,Cool Roofs (73%) + Reflective Roof Coatings (68%) + Reflective Concrete (9%) + High Albedo Materials (95%) + Building Spacing Optimization (43%),17,,,,,,,,0.9500,,,,,,,,,0.4300,,,,,0.6800,0.0900,,,,0.7300
43,4.6800,0.1600,1.2900,346.0000,0.7750,6,0.9000,Reflective Roof Coatings (41%) + Permeable Pavements (19%) + Artificial Shading Structures (12%) + Jaali (Lattice Screen) Structures (20%) + Building Orientation Optimization (12%) + Impervious Surface Reduction (8%),22,,,,,,,,,,0.2000,0.1200,,,,,,,0.1200,,,,0.4100,,,0.1900,0.0800,
44,4.6600,0.2900,1.5100,240.0000,0.8000,5,0.8500,Cool Roofs (65%) + Cool Pavements (16%) + High Albedo Materials (13%) + Permeable Pavements (20%) + Building Orientation Optimization (7%),19,,,,,,,0.1600,0.1300,,,0.0700,,,,,,,,,,,,,,0.2000,,0.6500
45,4.6400,0.8500,4.3700,1246.0000,0.8880,4,0.8000,Green Roofs (79%) + Cool Roofs (99%) + Reflective Roof Coatings (100%) + High Albedo Materials (100%),15,,,,0.7900,,,,1.0000,,,,,,,,,,,,,,1.0000,,,,,0.9900
46,4.6200,0.7500,4.0700,1114.0000,0.7300,5,0.8500,Green Roofs (78%) + Cool Roofs (100%) + High Albedo Materials (28%) + Building Spacing Optimization (39%) + Building Orientation Optimization (77%),20,,,,0.7800,,,,0.2800,,,0.7700,,,,,,0.3900,,,,,,,,,,1.0000
47,4.6000,0.9700,4.8800,113560.0000,0.8370,4,0.8000,Urban Forests / Miyawaki Forests (75%) + Green Roofs (79%) + Cool Roofs (52%) + Reflective Roof Coatings (67%),17,,0.7500,,0.7900,,,,,,,,,,,,,,,,,,0.6700,,,,,0.5200
48,4.5800,0.4600,2.7600,1098.0000,0.7700,5,0.8500,Green Roofs (77%) + Reflective Roof Coatings (55%) + Cool Pavements (39%) + High Albedo Materials (49%) + Building Spacing Optimization (16%),20,,,,0.7700,,,0.3900,0.4900,,,,,,,,,0.1600,,,,,0.5500,,,,,
49,4.5500,0.4800,2.6600,183.0000,0.8120,4,0.8000,Cool Roofs (68%) + Reflective Roof Coatings (68%) + High Albedo Materials (47%) + Building Spacing Optimization (42%),14,,,,,,,,0.4700,,,,,,,,,0.4200,,,,,0.6800,,,,,0.6800
50,4.4900,0.5300,3.1000,240.0000,0.8120,4,0.8000,Cool Roofs (74%) + Reflective Roof Coatings (68%) + High Albedo Materials (95%) + Building Spacing Optimization (43%),14,,,,,,,,0.9500,,,,,,,,,0.4300,,,,,0.6800,,,,,0.7400
51,4.4600,0.6000,2.6100,1097.0000,0.8380,4,0.8000,Green Roofs (77%) + Cool Roofs (70%) + High Albedo Materials (44%) + Impervious Surface Reduction (8%),16,,,,0.7700,,,,0.4400,,,,,,,,,,,,,,,,,,0.0800,0.7000
52,4.3200,0.4200,1.7300,139.0000,0.9500,2,0.7000,Cool Roofs (70%) + Reflective Roof Coatings (68%),7,,,,,,,,,,,,,,,,,,,,,,0.6800,,,,,0.7000
53,4.2000,0.9900,4.9400,115074.0000,0.8000,3,0.7500,Urban Forests / Miyawaki Forests (76%) + Green Roofs (77%) + Cool Roofs (100%),14,,0.7600,,0.7700,,,,,,,,,,,,,,,,,,,,,,,1.0000
54,4.1800,0.9500,4.4500,114180.0000,0.8670,3,0.7500,Urban Forests / Miyawaki Forests (76%) + Cool Roofs (96%) + Reflective Roof Coatings (73%),12,,0.7600,,,,,,,,,,,,,,,,,,,,0.7300,,,,,0.9600
55,4.0600,0.3000,1.3200,111.0000,0.7670,3,0.7500,Cool Roofs (70%) + High Albedo Materials (6%) + Building Spacing Optimization (15%),11,,,,,,,,0.0600,,,,,,,,,0.1500,,,,,,,,,,0.7000
56,3.9000,0.2700,0.8800,44.0000,0.9500,1,0.6500,Reflective Roof Coatings (88%),4,,,,,,,,,,,,,,,,,,,,,,0.8800,,,,,
57,3.8400,0.6700,2.6900,1098.0000,0.8500,2,0.7000,Green Roofs (79%) + Cool Roofs (100%),9,,,,0.7900,,,,,,,,,,,,,,,,,,,,,,,1.0000
58,3.7300,0.2000,0.6900,34.0000,0.9500,1,0.6500,Reflective Roof Coatings (69%),4,,,,,,,,,,,,,,,,,,,,,,0.6900,,,,,
59,3.6800,0.3500,1.7200,598.0000,0.8750,2,0.7000,Bioswales (82%) + Cool Roofs (71%),8,,,,,,0.8200,,,,,,,,,,,,,,,,,,,,,0.7100
